Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age,continent
Algeria,Under-five mortality rate,Female,2000,36.6523430868736,,Deaths per 1000 live births,Normal value,,35.796905485145,37.5341623904933,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2001,35.9718315660602,,Deaths per 1000 live births,Normal value,,35.1942594790876,36.7485873162453,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2002,34.7811218489329,,Deaths per 1000 live births,Normal value,,34.0560914913844,35.5044010262278,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2003,33.9773107456524,,Deaths per 1000 live births,Normal value,,33.2817987041951,34.6849462793851,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2004,32.8598778682843,,Deaths per 1000 live births,Normal value,,32.2063157098561,33.5270875453734,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2005,31.5406168346494,,Deaths per 1000 live births,Normal value,,30.9029865665663,32.2201385114552,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2006,30.3180350333634,,Deaths per 1000 live births,Normal value,,29.7244585822622,30.9455750950119,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2007,29.0909826458972,,Deaths per 1000 live births,Normal value,,28.524168058167,29.6747390543893,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2008,28.049574606239,,Deaths per 1000 live births,Normal value,,27.4918373685733,28.6361848335083,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2009,26.7985567703223,,Deaths per 1000 live births,Normal value,,26.2672077606056,27.3452578371686,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2010,25.905699259763,,Deaths per 1000 live births,Normal value,,25.3836429295322,26.4340466100858,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2011,25.2211930179288,,Deaths per 1000 live births,Normal value,,24.7152784333845,25.7275860228512,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2012,24.7539587130209,,Deaths per 1000 live births,Normal value,,24.2570317502938,25.2501218514855,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2013,24.4162658664833,,Deaths per 1000 live births,Normal value,,23.89199693075,24.9387335233153,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2014,24.0426716869369,,Deaths per 1000 live births,Normal value,,23.5280457401102,24.589408985542,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2015,23.7163657164699,,Deaths per 1000 live births,Normal value,,23.1584717469674,24.2954833443862,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2016,23.3105921666312,,Deaths per 1000 live births,Normal value,,22.7778275081981,23.842393175789,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2017,22.8082234564356,,Deaths per 1000 live births,Normal value,,22.2997368095075,23.3207953641617,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2018,22.3296649560618,,Deaths per 1000 live births,Normal value,,21.797682353084,22.8712289200521,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Female,2019,21.8137933120622,,Deaths per 1000 live births,Normal value,,21.0909962584449,22.5611176969476,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2000,42.5437316865469,,Deaths per 1000 live births,Normal value,,41.5756803845076,43.5265343206223,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2001,41.6044839775375,,Deaths per 1000 live births,Normal value,,40.7321182529089,42.4982179896337,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2002,40.6576085640449,,Deaths per 1000 live births,Normal value,,39.834438327691,41.4666365623345,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2003,38.8970566039955,,Deaths per 1000 live births,Normal value,,38.117795539581,39.691364602417,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2004,37.1540495194614,,Deaths per 1000 live births,Normal value,,36.4270900667716,37.9055674651887,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2005,35.5002933603091,,Deaths per 1000 live births,Normal value,,34.7881397039131,36.240535025951,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2006,33.8364393888187,,Deaths per 1000 live births,Normal value,,33.1765086358056,34.5234100067044,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2007,32.3567111649238,,Deaths per 1000 live births,Normal value,,31.7231727364362,33.0051219207036,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2008,30.8898118353062,,Deaths per 1000 live births,Normal value,,30.2679785168788,31.5103877842402,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2009,29.8853756105857,,Deaths per 1000 live births,Normal value,,29.295663927678,30.4652168198973,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2010,28.8890820661448,,Deaths per 1000 live births,Normal value,,28.3201441051124,29.4812429868417,,,,,,,,,,Total,Africa
